#species_taxid	min_ungapped_length	max_ungapped_length	expected_ungapped_length	number_of_genomes
121719	4143000	6918000	5530656	7
121759	23451000	35177000	29314059	4
121791	14000	22000	18246	14
122355	4215000	6324000	5269270	7
123841	1298000	1948000	1622996	5
123899	3554000	5333000	4443574	9
126385	3247000	4872000	4059534	27
128780	2497000	5247000	3872187	7
129355	28320000	69689000	49004543	5
129364	62209000	93315000	77761924	5
129817	4794000	7192000	5993024	5
129875	27000	41000	33776	9
129921	7392000	11089000	9240616	4
129950	27000	42000	34446	4
129951	28000	44000	35921	117
130081	10796000	17285000	14040544	10
130308	28000	44000	35962	77
130309	27000	42000	34169	27
130310	28000	43000	35100	203
130328	26000	40000	33213	8
130369	27000	41000	34094	5
132144	837000	2512000	1674039	4
132476	5160000	7741000	6450472	8
133448	3980000	5972000	4975888	7
133704	1407	2110	1759	64
133926	1472000	2834000	2153240	5
134533	1713000	4043000	2878042	5
134534	3446000	5171000	4308648	5
134536	5865000	8799000	7332037	4
134537	7106000	10661000	8883358	7
134821	555000	910000	732889	15
135487	5175000	7764000	6469629	8
135577	1689000	3990000	2839538	6
135735	4252000	6379000	5315384	8
136468	4526000	6790000	5657667	87
137545	3959000	6606000	5282433	6
137591	1757000	3121000	2439082	37
138072	1061000	3184000	2122302	13
138074	1232000	3697000	2464304	8
138563	1447000	2171000	1809021	5
138948	5923	8884	7404	21
138949	5936	8905	7421	59
138950	5951	8926	7439	46
139208	1683000	4956000	3319644	4
140626	2085000	3129000	2607232	5
141904	3772	12000	7545	6
145458	1848000	2774000	2311049	24
145522	22111000	33168000	27639860	7
146032	1456	2185	1821	69
146474	2267000	3549000	2908375	7
146476	1341000	4026000	2683466	6
146786	2075000	3112000	2593857	2
146819	7343000	13657000	10499951	5
146919	2847000	4679000	3762895	11
146922	6800000	10201000	8500765	4
146939	1725000	5176000	3450427	5
147207	895000	2686000	1790615	6
147645	3715000	5574000	4644538	6
147711	5707	8560	7134	78
147712	5771	8656	7214	30
147802	1035000	1554000	1294173	23
148305	32141000	54835000	43487971	8
148814	1241000	1863000	1552275	24
150055	1479000	2219000	1849037	9
150056	2027000	3087000	2557141	6
150123	3412000	5120000	4265930	4
151081	3146000	5015000	4080574	16
152331	2108000	3163000	2635444	26
152332	2015000	3024000	2519554	4
152480	6075000	9114000	7594947	10
152500	5080000	7621000	6350502	4
152682	3197000	4796000	3996271	8
153496	2615000	3923000	3269041	4
154046	3484000	10455000	6969461	24
154288	2427000	3641000	3033771	232
155077	3661000	5492000	4576568	4
155322	4743000	7116000	5929354	215
155866	1336000	2005000	1670713	4
